Part,Value,Device,Package,Description,ALTERNATEPARTNUMBER,APPLICATION_BUILDNUMBER,COMPTYPE,DESIGNER,MANUFACTURER,MOUNTTYPE,PACKAGEREFERENCE,PARTNUMBER,PIN_COUNT,PROD_ID,REFDES,ROHS,TYPE,VALUE,VERSION
C1,10uF,10UF-0603-6.3V-20%,603,10.0µF ceramic capacitors,,,,,,,,,,CAP-11015,,,,10uF,
C2,10uF,10UF-0603-6.3V-20%,603,10.0µF ceramic capacitors,,,,,,,,,,CAP-11015,,,,10uF,
C4,4.7uF,4.7UF0603,603,4.7µF ceramic capacitors,,,,,,,,,,CAP-08280,,,,4.7uF,
C5,0.1uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,,,,,,CAP-00810,,,,0.1uF,
C6,0.1uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,,,,,,CAP-00810,,,,0.1uF,
C8,0.1uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,,,,,,CAP-00810,,,,0.1uF,
C9,100uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,,,,,,CAP-00810,,,,0.1uF,
C13,10nF,10NF-0603-50V-10%,603,0.01uF/10nF/10,,,,,,,,,,,,,,,
C14,22uF,22UF-0805-6.3V-20%,805,22µF ceramic capacitors,,,,,,,,,,CAP-08402,,,,22uF,
C15,1.0uF,1.0UF-0603-16V-10%,603,1µF ceramic capacitors,,,,,,,,,,CAP-00868,,,,1.0uF,
C16,100uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,,,,,,CAP-00810,,,,0.1uF,
C17,0.1uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,,,,,,CAP-00810,,,,0.1uF,
C19,100uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,,,,,,CAP-00810,,,,0.1uF,
C21,4.7uF,4.7UF0603,603,4.7µF ceramic capacitors,,,,,,,,,,CAP-08280,,,,4.7uF,
C22,0.1uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,,,,,,CAP-00810,,,,0.1uF,
C23,100uF,0.1UF-0603-25V-(+80/-20%),603,0.1µF ceramic capacitors,,,,,,,,,,CAP-00810,,,,0.1uF,
D5,BZT52C4V7t,DIODE-SOD523,SOD523,DIODE,,,,,,,,,,,,,,,
FRAME1,FRAME-LETTERNO_PACKAGE,FRAME-LETTERNO_PACKAGE,DUMMY,Schematic Frame - Letter,,,,Nobody,,,,,,,,,,,v01
G2,10MM_SM_COIN_CELL_CLIP,10MM_SM_COIN_CELL_CLIP,10MM_SM_COIN_CELL_CLIP,Battery cell clip for CR927,,,,,,,,,,,,,,,
JP1,,PINHD-1X2,1X02,PIN HEADER,,,,,,,,,,,,,,,
JP2,,PINHD-1X2,1X02,PIN HEADER,,,,,,,,,,,,,,,
JP3,,PINHD-1X2,1X02,PIN HEADER,,,,,,,,,,,,,,,
JP5,M023.5MM_LOCK,M023.5MM_LOCK,SCREWTERMINAL-3.5MM-2_LOCK,"Standard 2-pin 0.1 header. Use with""",,,,,,,,,,CONN-08399,,,,,
JP6,,PINHD-1X2,1X02,PIN HEADER,,,,,,,,,,,,,,,
JP11,M023.5MM_LOCK,M023.5MM_LOCK,SCREWTERMINAL-3.5MM-2_LOCK,"Standard 2-pin 0.1 header. Use with""",,,,,,,,,,CONN-08399,,,,,
L1,22uH-LPS4018-223MR,COILCRAFT-LPS4018,LPS4018,Coilcraft,,,,,,,,,,,,,,,
L3,4.7uH - EPL3015-472ML,INDUCTORDFE322512C,DFE322512C,A very specific inductor,,,,,,,,,,,,,,,
L4,10uH-LPS4018-103MR,COILCRAFT-LPS4018,LPS4018,Coilcraft,,,,,,,,,,,,,,,
R1,1M,1MOHM-0603-1/4W-5%,603,1MO resistor,,,,,,,,,,RES-07868,,,,1M,
R2,1M,1MOHM-0603-1/4W-5%,603,1MO resistor,,,,,,,,,,RES-07868,,,,1M,
R3,110K,100KOHM-0603-1/10W-1%,603,100kO resistor,,,,,,,,,,RES-07828,,,,100k,
R4,0,0OHM-0603-1/10W-5%,603,0O resistor,,,,,,,,,,RES-08609,,,,0,
R6,0,0OHM-0603-1/10W-5%,603,0O resistor,,,,,,,,,,RES-08609,,,,0,
R7,0,0OHM-0603-1/10W-5%,603,0O resistor,,,,,,,,,,RES-08609,,,,0,
R14,0,0OHM-0603-1/10W-5%,603,0O resistor,,,,,,,,,,RES-08609,,,,0,
R15,0,0OHM-0603-1/10W-5%,603,0O resistor,,,,,,,,,,RES-08609,,,,0,
R16,0,0OHM-0603-1/10W-5%,603,0O resistor,,,,,,,,,,RES-08609,,,,0,
R17,0,0OHM-0603-1/10W-5%,603,0O resistor,,,,,,,,,,RES-08609,,,,0,
R19,7.32M,1MOHM-0603-1/4W-5%,603,1MO resistor,,,,,,,,,,RES-07868,,,,1M,
R20,8.25M,1MOHM-0603-1/4W-5%,603,1MO resistor,,,,,,,,,,RES-07868,,,,1M,
R21,5.62M,1MOHM-0603-1/4W-5%,603,1MO resistor,,,,,,,,,,RES-07868,,,,1M,
R22,8.25M,1MOHM-0603-1/4W-5%,603,1MO resistor,,,,,,,,,,RES-07868,,,,1M,
R23,4.53M,1MOHM-0603-1/4W-5%,603,1MO resistor,,,,,,,,,,RES-07868,,,,1M,
R24,4.75M,1MOHM-0603-1/4W-5%,603,1MO resistor,,,,,,,,,,RES-07868,,,,1M,
R25,374K,1MOHM-0603-1/4W-5%,603,1MO resistor,,,,,,,,,,RES-07868,,,,1M,
U1,Value,BQ25570RGRR,RGR0020A,,BQ25570RGRT,*,IC,,Texas Instruments,SMT,RGR0020A,BQ25570RGRR,21,,RefDes,Y,TYPE,Value,
U2,TPS61220DCKR,TPS61220DCKR,DCK0006A,,,,IC,,Texas Instruments,SMT,DCK0006A,TPS61220DCK,6,,RefDes,Y,TYPE,Value,
