Part,Value,Device,Description
C1,10uF,10UF-0603-6.3V-20%,10.0µF ceramic capacitors
C13,10nF,10NF-0603-50V-10%,0.01uF/10nF/10
C14,22uF,22UF-0805-6.3V-20%,22µF ceramic capacitors
C15,1.0uF,1.0UF-0603-16V-10%,1µF ceramic capacitors
C16,100uF,0.1UF-0603-25V-(+80/-20%),0.1µF ceramic capacitors
C17,0.1uF,0.1UF-0603-25V-(+80/-20%),0.1µF ceramic capacitors
C19,100uF,0.1UF-0603-25V-(+80/-20%),0.1µF ceramic capacitors
C2,10uF,10UF-0603-6.3V-20%,10.0µF ceramic capacitors
C21,4.7uF,4.7UF0603,4.7µF ceramic capacitors
C22,0.1uF,0.1UF-0603-25V-(+80/-20%),0.1µF ceramic capacitors
C23,100uF,0.1UF-0603-25V-(+80/-20%),0.1µF ceramic capacitors
C4,4.7uF,4.7UF0603,4.7µF ceramic capacitors
C5,0.1uF,0.1UF-0603-25V-(+80/-20%),0.1µF ceramic capacitors
C6,0.1uF,0.1UF-0603-25V-(+80/-20%),0.1µF ceramic capacitors
C8,0.1uF,0.1UF-0603-25V-(+80/-20%),0.1µF ceramic capacitors
C9,100uF,0.1UF-0603-25V-(+80/-20%),0.1µF ceramic capacitors
D5,BZT52C4V7t,DIODE-SOD523,DIODE
G2,10MM_SM_COIN_CELL_CLIP,10MM_SM_COIN_CELL_CLIP,Battery cell clip for CR927
JP1,,PINHD-1X2,PIN HEADER
JP11,M023.5MM_LOCK,M023.5MM_LOCK,
JP2,,PINHD-1X2,PIN HEADER
JP3,,PINHD-1X2,PIN HEADER
JP5,M023.5MM_LOCK,M023.5MM_LOCK,
JP6,,PINHD-1X2,PIN HEADER
L1,22uH-LPS4018-223MR,COILCRAFT-LPS4018,Coilcraft
L3,4.7uH - EPL3015-472ML,INDUCTORDFE322512C,A very specific inductor
L4,10uH-LPS4018-103MR,COILCRAFT-LPS4018,Coilcraft
R1,1M,1MOHM-0603-1/4W-5%,1MO resistor
R14,0,0OHM-0603-1/10W-5%,0O resistor
R15,0,0OHM-0603-1/10W-5%,0O resistor
R16,0,0OHM-0603-1/10W-5%,0O resistor
R17,0,0OHM-0603-1/10W-5%,0O resistor
R19,7.32M,1MOHM-0603-1/4W-5%,1MO resistor
R2,1M,1MOHM-0603-1/4W-5%,1MO resistor
R20,8.25M,1MOHM-0603-1/4W-5%,1MO resistor
R21,5.62M,1MOHM-0603-1/4W-5%,1MO resistor
R22,8.25M,1MOHM-0603-1/4W-5%,1MO resistor
R23,4.53M,1MOHM-0603-1/4W-5%,1MO resistor
R24,4.75M,1MOHM-0603-1/4W-5%,1MO resistor
R25,374K,1MOHM-0603-1/4W-5%,1MO resistor
R3,110K,100KOHM-0603-1/10W-1%,100kO resistor
R4,0,0OHM-0603-1/10W-5%,0O resistor
R6,0,0OHM-0603-1/10W-5%,0O resistor
R7,0,0OHM-0603-1/10W-5%,0O resistor
U1,Value,BQ25570RGRR,
U2,TPS61220DCKR,TPS61220DCKR,
